interactor1	interactor2	interactor1_canon	interactor2_canon	query_term1	query_term2	organism	int_type
9606.ENSP00000306512	9606.ENSP00000379140	Q9UCS0	Q9H554	IL8_HUMAN	SDF1_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000361405	Q9UCS0	P14780	IL8_HUMAN	MMP9_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000369581	Q9UCS0	P01574	IL8_HUMAN	IFNB_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000350256	Q9UCS0	P51686	IL8_HUMAN	CCR9_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000361366	Q9UCS0	P35247	IL8_HUMAN	SFTPD_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000437955	Q9UCS0	Q16665	IL8_HUMAN	HIF1A_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000403495	Q9UCS0	P01374	IL8_HUMAN	TNFB_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000474412	Q9UCS0	P13501	IL8_HUMAN	CCL5_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000360266	Q9UCS0	P05412	IL8_HUMAN	JUN_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000357470	Q9UCS0	P08887	IL8_HUMAN	IL6RA_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000384906	Q9UCS0	Q6FG67	IL8_HUMAN	SAA1_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000381601	Q9UCS0	P20591	IL8_HUMAN	MX1_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000362680	Q9UCS0	P12931	IL8_HUMAN		human	interacts
9606.ENSP00000306512	9606.ENSP00000385675	Q9UCS0	P05231	IL8_HUMAN		human	interacts
9606.ENSP00000306512	9606.ENSP00000371067	Q9UCS0	O60674	IL8_HUMAN	JAK2_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000398698	Q9UCS0	P01375	IL8_HUMAN	TNFA_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000354394	Q9UCS0	P42224	IL8_HUMAN	STAT1_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000355627	Q9UCS0	P01019	IL8_HUMAN	ANGT_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000494750	Q9UCS0	P60709	IL8_HUMAN		human	interacts
9606.ENSP00000399982	9606.ENSP00000406549	P49848	Q70Q87	TAF6_HUMAN	TAF1_HUMAN	human	interacts
9606.ENSP00000399982	9606.ENSP00000461879	P49848	P24928	TAF6_HUMAN	RPB1_HUMAN	human	interacts
9606.ENSP00000399982	9606.ENSP00000473172	P49848	Q9Y230	TAF6_HUMAN	RUVB2_HUMAN	human	interacts
9606.ENSP00000399982	9606.ENSP00000476136	P49848	P06899	TAF6_HUMAN	H2B1J_HUMAN	human	interacts
9606.ENSP00000399982	9606.ENSP00000429986	P49848	Q9NPA8	TAF6_HUMAN	ENY2_HUMAN	human	interacts
9606.ENSP00000399982	9606.ENSP00000452454	P49848	P52655	TAF6_HUMAN	TF2AA_HUMAN	human	interacts
9606.ENSP00000325296		Q9P0L9		PK2L1_HUMAN		human	interacts
9606.ENSP00000385334	9606.ENSP00000429986	Q9Y6D9	Q9NPA8	MD1L1_HUMAN	ENY2_HUMAN	human	interacts
9606.ENSP00000385334	9606.ENSP00000479494	Q9Y6D9	Q9NW44	MD1L1_HUMAN	PCID2_HUMAN	human	interacts
9606.ENSP00000385334	9606.ENSP00000394394	Q9Y6D9	Q9UJX3	MD1L1_HUMAN	APC7_HUMAN	human	interacts
9606.ENSP00000385334	9606.ENSP00000434614	Q9Y6D9	P30260	MD1L1_HUMAN	CDC27_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000293288	Q92843	Q9UCZ7	B2CL2_HUMAN	BAX_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000363591	Q92843	Q16611	B2CL2_HUMAN	BAK_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000453562	Q92843	Q9HD36	B2CL2_HUMAN	B2L10_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000330237	Q92843	Q9UIJ8	B2CL2_HUMAN	CASP9_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000448165	Q92843	Q9UJ67	B2CL2_HUMAN	APAF_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000318822	Q92843	P55957	B2CL2_HUMAN	BID_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000269305	Q92843	Q8J016	B2CL2_HUMAN	P53_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000365230	Q92843	Q07817	B2CL2_HUMAN	B2CL1_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000357625	Q92843	Q12983	B2CL2_HUMAN	BNIP3_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000358022	Q92843	Q9UHR9	B2CL2_HUMAN	MCL1_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000355231	Q92843	Q14457	B2CL2_HUMAN	BECN1_HUMAN	human	interacts
9606.ENSP00000250405	9606.ENSP00000381185	Q92843	P10415	B2CL2_HUMAN	BCL2_HUMAN	human	interacts
9606.ENSP00000337261	9606.ENSP00000341189	Q92888	Q05397	ARHG1_HUMAN	FAK1_HUMAN	human	interacts
9606.ENSP00000337261	9606.ENSP00000497733	Q92888	P60953	ARHG1_HUMAN	CDC42_HUMAN	human	interacts
9606.ENSP00000337261	9606.ENSP00000356529	Q92888	O15492	ARHG1_HUMAN	RGS16_HUMAN	human	interacts
9606.ENSP00000337261	9606.ENSP00000400175	Q92888	P61586	ARHG1_HUMAN	RHOA_HUMAN	human	interacts
9606.ENSP00000337261	9606.ENSP00000382697	Q92888	Q13464	ARHG1_HUMAN	ROCK1_HUMAN	human	interacts
9606.ENSP00000337261	9606.ENSP00000380638	Q92888	Q14289	ARHG1_HUMAN	FAK2_HUMAN	human	interacts
9606.ENSP00000379904	9606.ENSP00000419692	P10828	P19793	THB_HUMAN	RXRA_HUMAN	human	interacts
9606.ENSP00000379904	9606.ENSP00000399968	P10828	Q15596	THB_HUMAN	NCOA2_HUMAN	human	interacts
9606.ENSP00000379904	9606.ENSP00000384018	P10828	Q9Y618	THB_HUMAN	NCOR2_HUMAN	human	interacts
9606.ENSP00000379904	9606.ENSP00000385216	P10828	Q7KYV3	THB_HUMAN	NCOA1_HUMAN	human	interacts
9606.ENSP00000353731	9606.ENSP00000379140	P27487	Q9H554	DPP4_HUMAN	SDF1_HUMAN	human	interacts
9606.ENSP00000353731	9606.ENSP00000379350	P27487	Q13090	DPP4_HUMAN	ITB1_HUMAN	human	interacts
9606.ENSP00000353731	9606.ENSP00000362353	P27487	P43220	DPP4_HUMAN	GLP1R_HUMAN	human	interacts
9606.ENSP00000353731	9606.ENSP00000419945	P27487	Q9UQF0	DPP4_HUMAN	SYCY1_HUMAN	human	interacts
9606.ENSP00000353731	9606.ENSP00000480012	P27487	P29274	DPP4_HUMAN	AA2AR_HUMAN	human	interacts
9606.ENSP00000353731	9606.ENSP00000380432	P27487	P01308	DPP4_HUMAN	INS_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000384018	Q92731	Q9Y618	ESR2_HUMAN	NCOR2_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000399968	Q92731	Q15596	ESR2_HUMAN	NCOA2_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000405330	Q92731	P03372	ESR2_HUMAN	ESR1_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000376637	Q92731	P05019	ESR2_HUMAN	IGF1_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000497069	Q92731	P08069	ESR2_HUMAN	IGF1R_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000385216	Q92731	Q7KYV3	ESR2_HUMAN	NCOA1_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000392330	Q92731	P51572	ESR2_HUMAN	BAP31_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000362680	Q92731	P12931	ESR2_HUMAN		human	interacts
9606.ENSP00000343925	9606.ENSP00000387699	Q92731	P16220	ESR2_HUMAN	CREB1_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000360266	Q92731	P05412	ESR2_HUMAN	JUN_HUMAN	human	interacts
9606.ENSP00000343925	9606.ENSP00000360609	Q92731	P08238	ESR2_HUMAN	HS90B_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000380466	Q9BYD1	Q16540	RM13_HUMAN	RM23_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000417602	Q9BYD1	Q9HD33	RM13_HUMAN	RM47_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000405252	Q9BYD1	Q9P0M2	RM13_HUMAN	AKA7G_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000379339	Q9BYD1	P62273	RM13_HUMAN	RS29_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000431040	Q9BYD1	Q9NWU5	RM13_HUMAN	RM22_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000377814	Q9BYD1	Q8N4P3	RM13_HUMAN	MESH1_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000449884	Q9BYD1	Q9Y6G3	RM13_HUMAN	RM42_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000312311	Q9BYD1	Q9H2W6	RM13_HUMAN	RM46_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000499044	Q9BYD1	P42677	RM13_HUMAN	RS27_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000497004	Q9BYD1	Q13084	RM13_HUMAN	RM28_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000360498	Q9BYD1	Q8IXM3	RM13_HUMAN	RM41_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000446252	Q9BYD1	Q96EE6	RM13_HUMAN	SODM_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000333401	Q9BYD1	Q9NQ50	RM13_HUMAN	RM40_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000338057	Q9BYD1	Q8TCC3	RM13_HUMAN	RM30_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000354739	Q9BYD1	P30050	RM13_HUMAN	RL12_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000385725	Q9BYD1	P61218	RM13_HUMAN	RPAB2_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000481646	Q9BYD1	P46783	RM13_HUMAN	RS10_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000419740	Q9BYD1	Q96CB9	RM13_HUMAN	NSUN4_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000403614	Q9BYD1	Q7Z7F7	RM13_HUMAN	RM55_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000458770	Q9BYD1	O14561	RM13_HUMAN	ACPM_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000388107	Q9BYD1	Q9UPK7	RM13_HUMAN	RL40_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000356001	Q9BYD1	Q9H0U6	RM13_HUMAN	RM18_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000307567	Q9BYD1	P47897	RM13_HUMAN	SYQ_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000435096	Q9BYD1	P62851	RM13_HUMAN	RS25_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000380070	Q9BYD1	P04406	RM13_HUMAN	G3P_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000331901	Q9BYD1	P26641	RM13_HUMAN	EF1G_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000362744	Q9BYD1	P62701	RM13_HUMAN	RS4X_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000361206	Q9BYD1	Q9NVS2	RM13_HUMAN	RT18A_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000472985	Q9BYD1	P46782	RM13_HUMAN	RS5_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000495273	Q9BYD1	P62081	RM13_HUMAN	RS7_HUMAN	human	interacts
9606.ENSP00000306548	9606.ENSP00000370625	Q9BYD1	P30876	RM13_HUMAN	RPB2_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000495360	Q9UBL3	P35222	ASH2L_HUMAN	CTNB1_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000356480	Q9UBL3	Q99496	ASH2L_HUMAN	RING2_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000362649	Q9UBL3	Q13547	ASH2L_HUMAN		human	interacts
9606.ENSP00000340896	9606.ENSP00000388107	Q9UBL3	Q9UPK7	ASH2L_HUMAN	RL40_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000441543	Q9UBL3	Q9UPK7	ASH2L_HUMAN	UBC_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000351589	Q9UBL3	P0C0S8	ASH2L_HUMAN	H2A1_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000355657	Q9UBL3	Q16695	ASH2L_HUMAN	H31T_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000461879	Q9UBL3	P24928	ASH2L_HUMAN	RPB1_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000478771	Q9UBL3	Q9UPK7	ASH2L_HUMAN	UBB_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000352252	Q9UBL3	Q6NXU4	ASH2L_HUMAN	H31_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000476136	Q9UBL3	P06899	ASH2L_HUMAN	H2B1J_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000349430	Q9UBL3	O60814	ASH2L_HUMAN	H2B1K_HUMAN	human	interacts
9606.ENSP00000340896	9606.ENSP00000345837	Q9UBL3	Q9C005	ASH2L_HUMAN	DPY30_HUMAN	human	interacts
9606.ENSP00000366604	9606.ENSP00000443631	Q969H7	Q01970	SF01_HUMAN	PLCB3_HUMAN	human	interacts
9606.ENSP00000366604	9606.ENSP00000385751	Q969H7	Q7KZI7	SF01_HUMAN	MARK2_HUMAN	human	interacts
9606.ENSP00000366604	9606.ENSP00000400591	Q969H7	P62304	SF01_HUMAN	RUXE_HUMAN	human	interacts
9606.ENSP00000366604	9606.ENSP00000367263	Q969H7	Q09666	SF01_HUMAN	AHNK_HUMAN	human	interacts
9606.ENSP00000366604	9606.ENSP00000472998	Q969H7	Q9UE45	SF01_HUMAN	RU17_HUMAN	human	interacts
9606.ENSP00000366604	9606.ENSP00000434359	Q969H7	Q9UHX1	SF01_HUMAN	PUF60_HUMAN	human	interacts
9606.ENSP00000328773	9606.ENSP00000463058	O94992	Q9Y5S9	HEXI1_HUMAN	RBM8A_HUMAN	human	interacts
9606.ENSP00000328773	9606.ENSP00000461879	O94992	P24928	HEXI1_HUMAN	RPB1_HUMAN	human	interacts
9606.ENSP00000328773	9606.ENSP00000362361	O94992	P50750	HEXI1_HUMAN	CDK9_HUMAN	human	interacts
9606.ENSP00000328773	9606.ENSP00000449386	O94992	Q15020	HEXI1_HUMAN	SART3_HUMAN	human	interacts
9606.ENSP00000258341	9606.ENSP00000379350	P11047	Q13090	LAMC1_HUMAN	ITB1_HUMAN	human	interacts
9606.ENSP00000258341	9606.ENSP00000296585	P11047	P17301	LAMC1_HUMAN	ITA2_HUMAN	human	interacts
9606.ENSP00000258341	9606.ENSP00000452786	P11047	P05106	LAMC1_HUMAN	ITB3_HUMAN	human	interacts
9606.ENSP00000258341	9606.ENSP00000380227	P11047	P13612	LAMC1_HUMAN	ITA4_HUMAN	human	interacts
9606.ENSP00000258341	9606.ENSP00000262407	P11047	P08514	LAMC1_HUMAN	ITA2B_HUMAN	human	interacts
9606.ENSP00000258341	9606.ENSP00000341189	P11047	Q05397	LAMC1_HUMAN	FAK1_HUMAN	human	interacts
9606.ENSP00000279281	9606.ENSP00000311449	Q9UID3	P20340	VPS51_HUMAN	RAB6A_HUMAN	human	interacts
9606.ENSP00000279281	9606.ENSP00000315775	Q9UID3	Q9H9E3	VPS51_HUMAN	COG4_HUMAN	human	interacts
9606.ENSP00000376886	9606.ENSP00000377814	P22392	Q8N4P3	NDKB_HUMAN	MESH1_HUMAN	human	interacts
9606.ENSP00000376886	9606.ENSP00000496939	P22392	O15554	NDKB_HUMAN	KCNN4_HUMAN	human	interacts
9606.ENSP00000305682	9606.ENSP00000333401	Q9NYK5	Q9NQ50	RM39_HUMAN	RM40_HUMAN	human	interacts
9606.ENSP00000305682	9606.ENSP00000338057	Q9NYK5	Q8TCC3	RM39_HUMAN	RM30_HUMAN	human	interacts
9606.ENSP00000305682	9606.ENSP00000431040	Q9NYK5	Q9NWU5	RM39_HUMAN	RM22_HUMAN	human	interacts
9606.ENSP00000305682	9606.ENSP00000497004	Q9NYK5	Q13084	RM39_HUMAN	RM28_HUMAN	human	interacts
9606.ENSP00000305682	9606.ENSP00000360498	Q9NYK5	Q8IXM3	RM39_HUMAN	RM41_HUMAN	human	interacts
9606.ENSP00000305682	9606.ENSP00000380466	Q9NYK5	Q16540	RM39_HUMAN	RM23_HUMAN	human	interacts
9606.ENSP00000305682	9606.ENSP00000417602	Q9NYK5	Q9HD33	RM39_HUMAN	RM47_HUMAN	human	interacts
